Data.Name	R	G	B
A1	239	125	119
A2	240	199	83
A3	148	205	124
A4	102	201	222
A5	137	185	234
A6	244	146	185
B1	229	216	207
B2	224	226	212
B3	232	230	229
B4	93	76	75
B5	79	89	80
B6	88	89	97
C1	249	221	191
C2	242	199	144
C3	238	178	103
C4	206	128	82
C5	108	85	68
C6	78	78	76
D1	245	241	230
D2	247	243	232
D3	226	222	211
D4	205	201	192
D5	174	170	162
D6	107	109	103
E1	251	251	243
E2	231	231	223
E3	209	209	199
E4	181	181	173
E5	134	133	126
E6	75	75	73
F1	0	182	217
F2	240	103	178
F3	255	221	0
F4	250	50	68
F5	98	204	75
F6	44	81	203
G1	255	127	0
G2	78	118	215
G3	252	91	107
G4	112	77	140
G5	196	222	0
G6	255	173	0
H1	122	224	195
H2	153	159	215
H3	107	130	66
H4	113	156	198
H5	234	170	142
H6	139	87	69
